Game Date,Away Team,Away Record,Away Score,Home Team,Home Record,Home Score,Away 1st,Home 1st,YRFI
2025-04-08,San Diego Padres,9-3,4.0,Athletics,5-7,10.0,3.0,6.0,1
2025-04-08,Philadelphia Phillies,7-3,5.0,Atlanta Braves,2-8,7.0,1.0,0.0,1
2025-04-08,Toronto Blue Jays,7-5,6.0,Boston Red Sox,6-6,1.0,0.0,0.0,0
2025-04-08,Texas Rangers,8-4,6.0,Chicago Cubs,9-5,10.0,0.0,0.0,0
2025-04-08,Chicago White Sox,2-8,0.0,Cleveland Guardians,4-6,1.0,0.0,0.0,0
2025-04-08,Milwaukee Brewers,6-5,7.0,Colorado Rockies,2-8,1.0,0.0,0.0,0
2025-04-08,New York Yankees,6-5,0.0,Detroit Tigers,7-4,5.0,0.0,0.0,0
2025-04-08,Minnesota Twins,3-8,1.0,Kansas City Royals,6-5,2.0,0.0,0.0,0
2025-04-08,Miami Marlins,5-6,5.0,New York Mets,8-3,10.0,2.0,1.0,1
2025-04-08,St. Louis Cardinals,5-6,5.0,Pittsburgh Pirates,4-8,3.0,0.0,0.0,0
2025-04-08,Cincinnati Reds,5-7,1.0,San Francisco Giants,8-3,0.0,0.0,0.0,0
2025-04-08,Houston Astros,5-6,2.0,Seattle Mariners,4-8,1.0,0.0,0.0,0
2025-04-08,Los Angeles Angels,7-3,4.0,Tampa Bay Rays,4-6,3.0,0.0,0.0,0
2025-04-08,Los Angeles Dodgers,9-4,2.0,Washington Nationals,5-6,8.0,0.0,2.0,1
2025-04-09,Baltimore Orioles,5-8,0.0,Arizona Diamondbacks,7-6,9.0,0.0,1.0,1
2025-04-09,San Diego Padres,10-3,2.0,Athletics,5-8,1.0,0.0,0.0,0
2025-04-09,Philadelphia Phillies,8-3,4.0,Atlanta Braves,2-9,3.0,0.0,0.0,0
2025-04-09,Toronto Blue Jays,8-5,2.0,Boston Red Sox,6-7,1.0,1.0,1.0,1
2025-04-09,Texas Rangers,9-4,6.0,Chicago Cubs,9-6,2.0,1.0,0.0,1
2025-04-09,Chicago White Sox,2-9,2.0,Cleveland Guardians,5-6,3.0,1.0,2.0,1
2025-04-09,Milwaukee Brewers,7-5,17.0,Colorado Rockies,2-9,2.0,0.0,0.0,0
2025-04-09,New York Yankees,7-5,4.0,Detroit Tigers,7-5,3.0,0.0,0.0,0
2025-04-09,Minnesota Twins,4-8,4.0,Kansas City Royals,6-6,0.0,0.0,0.0,0
2025-04-09,Miami Marlins,6-6,5.0,New York Mets,8-4,0.0,0.0,0.0,0
2025-04-09,St. Louis Cardinals,5-7,1.0,Pittsburgh Pirates,5-8,2.0,0.0,0.0,0
2025-04-09,Cincinnati Reds,5-8,6.0,San Francisco Giants,9-3,8.0,0.0,0.0,0
2025-04-09,Houston Astros,5-7,6.0,Seattle Mariners,5-8,7.0,0.0,0.0,0
2025-04-09,Los Angeles Angels,7-4,4.0,Tampa Bay Rays,5-6,5.0,0.0,4.0,1
2025-04-09,Los Angeles Dodgers,10-4,6.0,Washington Nationals,5-7,5.0,4.0,3.0,1
2025-04-10,Philadelphia Phillies,8-4,2.0,Atlanta Braves,3-9,4.0,0.0,1.0,1
2025-04-10,Toronto Blue Jays,8-6,3.0,Boston Red Sox,7-7,4.0,0.0,0.0,0
2025-04-10,Chicago White Sox,2-10,1.0,Cleveland Guardians,6-6,6.0,1.0,2.0,1
2025-04-10,Milwaukee Brewers,7-6,2.0,Colorado Rockies,3-9,7.0,0.0,1.0,1
2025-04-10,Minnesota Twins,4-9,2.0,Kansas City Royals,7-6,3.0,0.0,1.0,1
2025-04-10,Los Angeles Angels,8-4,11.0,Tampa Bay Rays,5-7,1.0,1.0,0.0,1
2025-04-11,Milwaukee Brewers,8-6,7.0,Arizona Diamondbacks,7-7,0.0,0.0,0.0,0
2025-04-11,New York Mets,9-4,7.0,Athletics,5-9,6.0,0.0,0.0,0
2025-04-11,Toronto Blue Jays,12-8,,Baltimore Orioles,8-11,,0.0,0.0,0
2025-04-11,Boston Red Sox,7-8,1.0,Chicago White Sox,3-10,11.0,0.0,0.0,0
2025-04-11,Pittsburgh Pirates,5-9,3.0,Cincinnati Reds,6-8,5.0,0.0,3.0,1
2025-04-11,Kansas City Royals,7-7,0.0,Cleveland Guardians,7-6,7.0,0.0,0.0,0
2025-04-11,Los Angeles Angels,8-5,3.0,Houston Astros,6-7,14.0,0.0,0.0,0
2025-04-11,Chicago Cubs,9-7,0.0,Los Angeles Dodgers,11-4,3.0,0.0,0.0,0
2025-04-11,Washington Nationals,6-7,7.0,Miami Marlins,6-7,4.0,0.0,0.0,0
2025-04-11,Detroit Tigers,8-5,7.0,Minnesota Twins,4-10,6.0,0.0,0.0,0
2025-04-11,San Francisco Giants,10-3,9.0,New York Yankees,7-6,1.0,5.0,0.0,1
2025-04-11,Colorado Rockies,3-10,0.0,San Diego Padres,11-3,8.0,0.0,0.0,0
2025-04-11,Texas Rangers,9-5,3.0,Seattle Mariners,6-8,5.0,0.0,1.0,1
2025-04-11,Philadelphia Phillies,8-5,0.0,St. Louis Cardinals,6-7,2.0,0.0,0.0,0
2025-04-11,Atlanta Braves,3-10,3.0,Tampa Bay Rays,6-7,6.0,1.0,0.0,1
2025-04-12,Milwaukee Brewers,8-7,4.0,Arizona Diamondbacks,8-7,5.0,0.0,0.0,0
2025-04-12,New York Mets,9-5,1.0,Athletics,6-9,3.0,0.0,0.0,0
2025-04-12,Toronto Blue Jays,8-7,4.0,Baltimore Orioles,6-8,5.0,1.0,0.0,1
2025-04-12,Boston Red Sox,7-9,2.0,Chicago White Sox,4-10,3.0,0.0,0.0,0
2025-04-12,Pittsburgh Pirates,5-10,2.0,Cincinnati Reds,7-8,5.0,0.0,0.0,0
2025-04-12,Kansas City Royals,7-8,3.0,Cleveland Guardians,8-6,6.0,0.0,0.0,0
2025-04-12,Los Angeles Angels,9-5,4.0,Houston Astros,6-8,1.0,2.0,0.0,1
2025-04-12,Chicago Cubs,10-7,16.0,Los Angeles Dodgers,11-5,0.0,0.0,0.0,0
2025-04-12,Washington Nationals,6-8,6.0,Miami Marlins,7-7,7.0,0.0,0.0,0
2025-04-12,Detroit Tigers,9-5,4.0,Minnesota Twins,4-11,0.0,1.0,0.0,1
2025-04-12,San Francisco Giants,10-4,4.0,New York Yankees,8-6,8.0,0.0,2.0,1
2025-04-12,Colorado Rockies,3-11,0.0,San Diego Padres,12-3,2.0,0.0,1.0,1
2025-04-12,Texas Rangers,9-6,2.0,Seattle Mariners,7-8,9.0,1.0,0.0,1
2025-04-12,Philadelphia Phillies,9-5,4.0,St. Louis Cardinals,6-8,1.0,2.0,0.0,1
2025-04-12,Atlanta Braves,4-10,5.0,Tampa Bay Rays,6-8,4.0,0.0,1.0,1
2025-04-13,Milwaukee Brewers,8-8,2.0,Arizona Diamondbacks,9-7,5.0,2.0,0.0,1
2025-04-13,New York Mets,10-5,8.0,Athletics,6-10,0.0,0.0,0.0,0
2025-04-13,Toronto Blue Jays,9-7,7.0,Baltimore Orioles,6-9,6.0,0.0,1.0,1
2025-04-13,Boston Red Sox,8-9,3.0,Chicago White Sox,4-11,1.0,0.0,0.0,0
2025-04-13,Pittsburgh Pirates,5-11,0.0,Cincinnati Reds,8-8,4.0,0.0,0.0,0
2025-04-13,Kansas City Royals,8-8,4.0,Cleveland Guardians,8-7,2.0,0.0,0.0,0
2025-04-13,Los Angeles Angels,9-6,3.0,Houston Astros,7-8,7.0,1.0,0.0,1
2025-04-13,Chicago Cubs,11-7,4.0,Los Angeles Dodgers,11-6,2.0,0.0,0.0,0
2025-04-13,Washington Nationals,6-9,4.0,Miami Marlins,8-7,11.0,0.0,0.0,0
2025-04-13,Detroit Tigers,9-6,1.0,Minnesota Twins,5-11,5.0,0.0,1.0,1
2025-04-13,San Francisco Giants,11-4,5.0,New York Yankees,8-7,4.0,0.0,1.0,1
2025-04-13,Colorado Rockies,3-12,0.0,San Diego Padres,13-3,6.0,0.0,4.0,1
2025-04-13,Texas Rangers,9-7,1.0,Seattle Mariners,8-8,3.0,0.0,2.0,1
2025-04-13,Philadelphia Phillies,9-6,0.0,St. Louis Cardinals,7-8,7.0,0.0,0.0,0
2025-04-13,Atlanta Braves,4-11,3.0,Tampa Bay Rays,7-8,8.0,0.0,2.0,1
2025-04-14,Colorado Rockies,3-13,3.0,Los Angeles Dodgers,12-6,5.0,0.0,2.0,1
2025-04-14,Detroit Tigers,10-6,9.0,Milwaukee Brewers,8-9,1.0,2.0,0.0,1
2025-04-14,New York Mets,11-5,5.0,Minnesota Twins,5-12,1.0,0.0,0.0,0
2025-04-14,Kansas City Royals,8-9,1.0,New York Yankees,9-7,4.0,0.0,0.0,0
2025-04-14,San Francisco Giants,12-4,10.0,Philadelphia Phillies,9-7,4.0,0.0,3.0,1
2025-04-14,Washington Nationals,6-10,3.0,Pittsburgh Pirates,6-11,10.0,0.0,1.0,1
2025-04-14,Chicago Cubs,11-8,4.0,San Diego Padres,14-3,10.0,0.0,0.0,0
2025-04-14,Houston Astros,7-9,3.0,St. Louis Cardinals,8-8,8.0,0.0,0.0,0
2025-04-14,Boston Red Sox,8-10,1.0,Tampa Bay Rays,8-8,16.0,0.0,1.0,1
2025-04-14,Atlanta Braves,5-11,8.0,Toronto Blue Jays,9-8,4.0,2.0,0.0,1
2025-04-15,Cleveland Guardians,9-7,6.0,Baltimore Orioles,6-10,3.0,0.0,0.0,0
2025-04-15,Athletics,7-10,12.0,Chicago White Sox,4-12,3.0,3.0,3.0,1
2025-04-15,Seattle Mariners,8-9,4.0,Cincinnati Reds,9-8,8.0,1.0,0.0,1
2025-04-15,Colorado Rockies,3-14,2.0,Los Angeles Dodgers,13-6,6.0,0.0,0.0,0
2025-04-15,Arizona Diamondbacks,10-7,10.0,Miami Marlins,8-8,4.0,0.0,0.0,0
2025-04-15,Detroit Tigers,10-7,0.0,Milwaukee Brewers,9-9,5.0,0.0,0.0,0
2025-04-15,New York Mets,11-6,3.0,Minnesota Twins,6-12,6.0,1.0,0.0,1
2025-04-15,Kansas City Royals,8-10,2.0,New York Yankees,10-7,4.0,0.0,0.0,0
2025-04-15,San Francisco Giants,12-5,4.0,Philadelphia Phillies,10-7,6.0,0.0,0.0,0
2025-04-15,Washington Nationals,7-10,3.0,Pittsburgh Pirates,6-12,0.0,1.0,0.0,1
2025-04-15,Chicago Cubs,12-8,2.0,San Diego Padres,14-4,1.0,0.0,0.0,0
2025-04-15,Houston Astros,8-9,2.0,St. Louis Cardinals,8-9,0.0,0.0,0.0,0
2025-04-15,Boston Red Sox,9-10,7.0,Tampa Bay Rays,8-9,4.0,1.0,0.0,1
2025-04-15,Los Angeles Angels,9-7,0.0,Texas Rangers,10-7,4.0,0.0,0.0,0
2025-04-15,Atlanta Braves,5-12,3.0,Toronto Blue Jays,10-8,6.0,1.0,0.0,1
2025-04-16,Cleveland Guardians,9-8,1.0,Baltimore Orioles,7-10,9.0,0.0,0.0,0
2025-04-16,Athletics,8-10,3.0,Chicago White Sox,4-13,1.0,0.0,0.0,0
2025-04-16,Seattle Mariners,9-9,5.0,Cincinnati Reds,9-9,3.0,1.0,0.0,1
2025-04-16,Colorado Rockies,3-15,7.0,Los Angeles Dodgers,14-6,8.0,1.0,7.0,1
2025-04-16,Arizona Diamondbacks,11-7,6.0,Miami Marlins,8-9,2.0,0.0,0.0,0
2025-04-16,Detroit Tigers,10-8,1.0,Milwaukee Brewers,10-9,5.0,0.0,0.0,0
2025-04-16,New York Mets,11-7,3.0,Minnesota Twins,7-12,4.0,0.0,0.0,0
2025-04-16,Kansas City Royals,8-11,3.0,New York Yankees,11-7,4.0,1.0,0.0,1
2025-04-16,San Francisco Giants,13-5,11.0,Philadelphia Phillies,10-8,4.0,4.0,2.0,1
2025-04-16,Washington Nationals,7-11,1.0,Pittsburgh Pirates,7-12,6.0,0.0,0.0,0
2025-04-16,Chicago Cubs,12-9,2.0,San Diego Padres,15-4,4.0,0.0,0.0,0
2025-04-16,Houston Astros,8-10,1.0,St. Louis Cardinals,9-9,4.0,1.0,0.0,1
2025-04-16,Boston Red Sox,10-10,1.0,Tampa Bay Rays,8-10,0.0,0.0,0.0,0
2025-04-16,Los Angeles Angels,9-8,1.0,Texas Rangers,11-7,3.0,0.0,0.0,0
2025-04-16,Atlanta Braves,5-13,1.0,Toronto Blue Jays,11-8,3.0,0.0,0.0,0
2025-04-17,Cleveland Guardians,9-9,2.0,Baltimore Orioles,8-10,6.0,0.0,1.0,1
2025-04-17,Athletics,9-10,8.0,Chicago White Sox,4-14,0.0,1.0,0.0,1
2025-04-17,Seattle Mariners,10-9,11.0,Cincinnati Reds,9-10,7.0,0.0,2.0,1
2025-04-17,Kansas City Royals,8-12,1.0,Detroit Tigers,11-8,6.0,0.0,0.0,0
2025-04-17,Arizona Diamondbacks,12-7,6.0,Miami Marlins,8-10,4.0,2.0,1.0,1
2025-04-17,St. Louis Cardinals,9-10,1.0,New York Mets,12-7,4.0,0.0,0.0,0
2025-04-17,San Francisco Giants,13-6,4.0,Philadelphia Phillies,11-8,6.0,1.0,5.0,1
2025-04-17,Washington Nationals,7-12,0.0,Pittsburgh Pirates,8-12,1.0,0.0,1.0,1
2025-04-17,New York Yankees,12-7,6.0,Tampa Bay Rays,8-11,3.0,1.0,0.0,1
2025-04-17,Los Angeles Angels,9-9,3.0,Texas Rangers,12-7,5.0,1.0,1.0,1
2025-04-18,Minnesota Twins,7-13,4,Atlanta Braves,6-13,6,0.0,0.0,0
2025-04-18,Cincinnati Reds,10-10,8,Baltimore Orioles,8-11,3,0.0,0.0,0
2025-04-18,Chicago White Sox,4-15,3,Boston Red Sox,11-10,10,0.0,3.0,1
2025-04-18,Arizona Diamondbacks,12-8,11,Chicago Cubs,13-9,13,0.0,0.0,0
2025-04-18,Washington Nationals,7-12,,Colorado Rockies,3-15,,0.0,0.0,0
2025-04-18,Kansas City Royals,8-13,3,Detroit Tigers,12-8,7,1.0,0.0,1
2025-04-18,San Diego Padres,15-5,4,Houston Astros,9-10,6,0.0,0.0,0
2025-04-18,San Francisco Giants,13-7,0,Los Angeles Angels,10-9,2,0.0,0.0,0
2025-04-18,Athletics,9-11,3,Milwaukee Brewers,11-9,5,0.0,0.0,0
2025-04-18,St. Louis Cardinals,9-11,4,New York Mets,13-7,5,0.0,0.0,0
2025-04-18,Miami Marlins,8-11,2,Philadelphia Phillies,12-8,7,0.0,2.0,1
2025-04-18,Cleveland Guardians,10-9,10,Pittsburgh Pirates,8-13,7,0.0,1.0,1
2025-04-18,New York Yankees,13-7,1,Tampa Bay Rays,8-12,0,0.0,0.0,0
2025-04-18,Los Angeles Dodgers,15-6,3,Texas Rangers,12-8,0,1.0,0.0,1
2025-04-18,Seattle Mariners,10-10,1,Toronto Blue Jays,12-8,3,0.0,1.0,1
2025-04-19,Cincinnati Reds,10-10,3,Baltimore Orioles,8-11,3,1.0,2.0,1
2025-04-19,Chicago White Sox,4-15,0,Boston Red Sox,11-10,0,0.0,0.0,0
2025-04-19,Arizona Diamondbacks,12-9,2,Chicago Cubs,14-9,6,1.0,2.0,1
2025-04-19,Washington Nationals,7-12,3,Colorado Rockies,3-15,2,0.0,0.0,0
2025-04-19,Kansas City Royals,8-14,1,Detroit Tigers,13-8,3,0.0,0.0,0
2025-04-19,St. Louis Cardinals,9-11,0,New York Mets,13-7,2,0.0,0.0,0
2025-04-19,Miami Marlins,8-12,10,Philadelphia Phillies,13-8,11,0.0,0.0,0
2025-04-19,Cleveland Guardians,10-9,1,Pittsburgh Pirates,8-13,0,0.0,0.0,0
2025-04-19,New York Yankees,13-7,3,Tampa Bay Rays,8-12,0,2.0,0.0,1
2025-04-19,Los Angeles Dodgers,15-6,3,Texas Rangers,12-8,2,0.0,0.0,0
2025-04-19,Seattle Mariners,10-10,2,Toronto Blue Jays,12-8,2,0.0,1.0,1
