date,away_team,home_team,away_starter,away_hand,home_starter,home_hand,Away 1st,Home 1st,yrfi
2025-03-27,Chicago Cubs,Arizona Diamondbacks,J. Steele (L),L,Z. Gallen (R),R,0.0,1.0,1
2025-03-27,Los Angeles Angels,Chicago White Sox,Y. Kikuchi (L),L,S. Burke (R),R,0.0,0.0,0
2025-03-27,San Francisco Giants,Cincinnati Reds,L. Webb (R),R,H. Greene (R),R,0.0,1.0,1
2025-03-27,New York Mets,Houston Astros,C. Holmes (R),R,F. Valdez (L),L,0.0,0.0,0
2025-03-27,Cleveland Guardians,Kansas City Royals,B. Lively (R),R,C. Ragans (L),L,0.0,0.0,0
2025-03-27,Detroit Tigers,Los Angeles Dodgers,T. Skubal (L),L,B. Snell (L),L,0.0,0.0,0
2025-03-27,Pittsburgh Pirates,Miami Marlins,P. Skenes (R),R,S. Alcantara (R),R,0.0,0.0,0
2025-03-27,Milwaukee Brewers,New York Yankees,F. Peralta (R),R,C. Rodon (L),L,0.0,1.0,1
2025-03-27,Atlanta Braves,San Diego Padres,C. Sale (L),L,M. King (R),R,1.0,2.0,1
2025-03-27,Minnesota Twins,St. Louis Cardinals,P. Lopez (R),R,S. Gray (R),R,0.0,1.0,1
2025-03-27,Boston Red Sox,Texas Rangers,G. Crochet (L),L,N. Eovaldi (R),R,0.0,0.0,0
2025-03-27,Baltimore Orioles,Toronto Blue Jays,Z. Eflin (R),R,J. Berrios (R),R,1.0,0.0,1
2025-03-27,Philadelphia Phillies,Washington Nationals,Z. Wheeler (R),R,M. Gore (L),L,0.0,0.0,0
2025-03-28,Chicago Cubs,Arizona Diamondbacks,J. Taillon (R),R,M. Kelly (R),R,0.0,0.0,0
2025-03-28,New York Mets,Houston Astros,T. Megill (R),R,H. Brown (R),R,0.0,0.0,0
2025-03-28,Detroit Tigers,Los Angeles Dodgers,J. Flaherty (R),R,Y. Yamamoto (R),R,0.0,0.0,0
2025-03-28,Pittsburgh Pirates,Miami Marlins,M. Keller (R),R,C. Gillispie (R),R,0.0,0.0,0
2025-03-28,Atlanta Braves,San Diego Padres,R. Lopez (R),R,D. Cease (R),R,0.0,1.0,1
2025-03-28,Colorado Rockies,Tampa Bay Rays,K. Freeland (L),L,R. Pepiot (R),R,0.0,0.0,0
2025-03-28,Boston Red Sox,Texas Rangers,T. Houck (R),R,J. Leiter (R),R,0.0,0.0,0
2025-03-28,Baltimore Orioles,Toronto Blue Jays,C. Morton (R),R,K. Gausman (R),R,0.0,0.0,0
2025-03-29,Chicago Cubs,Arizona Diamondbacks,S. Imanaga (L),L,B. Pfaadt (R),R,0.0,0.0,0
2025-03-29,Los Angeles Angels,Chicago White Sox,J. Soriano (R),R,J. Cannon (R),R,0.0,0.0,0
2025-03-29,San Francisco Giants,Cincinnati Reds,J. Verlander (R),R,N. Lodolo (L),L,0.0,0.0,0
2025-03-29,New York Mets,Houston Astros,G. Canning (R),R,S. Arrighetti (R),R,0.0,0.0,0
2025-03-29,Cleveland Guardians,Kansas City Royals,G. Williams (R),R,S. Lugo (R),R,0.0,0.0,0
2025-03-29,Detroit Tigers,Los Angeles Dodgers,R. Olson (R),R,R. Sasaki (R),R,2.0,1.0,1
2025-03-29,Pittsburgh Pirates,Miami Marlins,B. Falter (L),L,V. Bellozo (R),R,1.0,0.0,1
2025-03-29,Milwaukee Brewers,New York Yankees,N. Cortes (L),L,M. Fried (L),L,0.0,4.0,1
2025-03-29,Atlanta Braves,San Diego Padres,S. Schwellenbach (R),R,R. Vasquez (R),R,0.0,0.0,0
2025-03-29,Minnesota Twins,St. Louis Cardinals,J. Ryan (R),R,E. Fedde (R),R,0.0,1.0,1
2025-03-29,Colorado Rockies,Tampa Bay Rays,A. Senzatela (R),R,Z. Littell (R),R,0.0,0.0,0
2025-03-29,Boston Red Sox,Texas Rangers,W. Buehler (R),R,T. Mahle (R),R,0.0,2.0,1
2025-03-29,Baltimore Orioles,Toronto Blue Jays,D. Kremer (R),R,M. Scherzer (R),R,2.0,2.0,1
2025-03-29,Philadelphia Phillies,Washington Nationals,J. Luzardo (L),L,J. Irvin (R),R,0.0,0.0,0
2025-03-30,Chicago Cubs,Arizona Diamondbacks,M. Boyd (L),L,E. Rodriguez (L),L,0.0,0.0,0
2025-03-30,Los Angeles Angels,Chicago White Sox,J. Kochanowicz (R),R,D. Martin (R),R,2.0,2.0,1
2025-03-30,San Francisco Giants,Cincinnati Reds,R. Ray (L),L,N. Martinez (R),R,0.0,0.0,0
2025-03-30,Cleveland Guardians,Kansas City Royals,T. Bibee (R),R,M. Wacha (R),R,0.0,0.0,0
2025-03-30,Pittsburgh Pirates,Miami Marlins,A. Heaney (L),L,M. Meyer (R),R,0.0,0.0,0
2025-03-30,Milwaukee Brewers,New York Yankees,A. Civale (R),R,M. Stroman (R),R,1.0,2.0,1
2025-03-30,Atlanta Braves,San Diego Padres,A. Smith-Shawver (R),R,N. Pivetta (R),R,0.0,1.0,1
2025-03-30,Minnesota Twins,St. Louis Cardinals,B. Ober (R),R,A. Pallante (R),R,1.0,0.0,1
2025-03-30,Colorado Rockies,Tampa Bay Rays,R. Feltner (R),R,T. Bradley (R),R,0.0,2.0,1
2025-03-30,Boston Red Sox,Texas Rangers,R. Fitts (R),R,J. deGrom (R),R,0.0,0.0,0
2025-03-30,Baltimore Orioles,Toronto Blue Jays,T. Sugano (R),R,C. Bassitt (R),R,1.0,2.0,1
2025-03-30,Philadelphia Phillies,Washington Nationals,A. Nola (R),R,M. Parker (L),L,0.0,0.0,0
2025-03-31,Boston Red Sox,Baltimore Orioles,S. Newcomb (L),L,C. Povich (L),L,0.0,4.0,1
2025-03-31,Minnesota Twins,Chicago White Sox,C. Paddack (R),R,M. Perez (L),L,0.0,3.0,1
2025-03-31,Texas Rangers,Cincinnati Reds,K. Rocker (R),R,B. Singer (R),R,0.0,3.0,1
2025-03-31,San Francisco Giants,Houston Astros,J. Hicks (R),R,R. Blanco (R),R,0.0,0.0,0
2025-03-31,Atlanta Braves,Los Angeles Dodgers,G. Holmes (R),R,T. Glasnow (R),R,0.0,2.0,1
2025-03-31,New York Mets,Miami Marlins,D. Peterson (L),L,C. Quantrill (R),R,0.0,1.0,1
2025-03-31,Kansas City Royals,Milwaukee Brewers,K. Bubic (L),L,E. Rodriguez (R),R,3.0,0.0,1
2025-03-31,Colorado Rockies,Philadelphia Phillies,G. Marquez (R),R,C. Sanchez (L),L,0.0,0.0,0
2025-03-31,Cleveland Guardians,San Diego Padres,L. Ortiz (R),R,K. Hart (L),L,1.0,0.0,1
2025-03-31,Detroit Tigers,Seattle Mariners,J. Jobe (R),R,E. Hancock (R),R,6.0,0.0,1
2025-03-31,Los Angeles Angels,St. Louis Cardinals,T. Anderson (L),L,M. Mikolas (R),R,0.0,1.0,1
2025-03-31,Pittsburgh Pirates,Tampa Bay Rays,C. Mlodzinski (R),R,D. Rasmussen (R),R,0.0,0.0,0
2025-03-31,Washington Nationals,Toronto Blue Jays,M. Soroka (R),R,B. Francis (R),R,0.0,0.0,0
2025-04-01,Minnesota Twins,Chicago White Sox,S. Woods Richardson (R),R,S. Smith (R),R,0.0,0.0,0
2025-04-01,Texas Rangers,Cincinnati Reds,N. Eovaldi (R),R,C. Spiers (R),R,1.0,0.0,1
2025-04-01,San Francisco Giants,Houston Astros,L. Webb (R),R,H. Wesneski (R),R,0.0,0.0,0
2025-04-01,Atlanta Braves,Los Angeles Dodgers,C. Sale (L),L,D. May (R),R,0.0,0.0,0
2025-04-01,New York Mets,Miami Marlins,K. Senga (R),R,S. Alcantara (R),R,0.0,2.0,1
2025-04-01,Kansas City Royals,Milwaukee Brewers,M. Lorenzen (R),R,C. Patrick (R),R,0.0,0.0,0
2025-04-01,Arizona Diamondbacks,New York Yankees,C. Burnes (R),R,W. Warren (R),R,0.0,0.0,0
2025-04-01,Cleveland Guardians,San Diego Padres,L. Allen (L),L,M. King (R),R,0.0,0.0,0
2025-04-01,Detroit Tigers,Seattle Mariners,C. Mize (R),R,L. Gilbert (R),R,2.0,0.0,1
2025-04-01,Los Angeles Angels,St. Louis Cardinals,K. Hendricks (R),R,M. Liberatore (L),L,0.0,0.0,0
2025-04-01,Pittsburgh Pirates,Tampa Bay Rays,T. Harrington (R),R,S. Baz (R),R,0.0,3.0,1
2025-04-01,Washington Nationals,Toronto Blue Jays,T. Williams (R),R,J. Berrios (R),R,0.0,0.0,0
2025-04-02,Boston Red Sox,Baltimore Orioles,G. Crochet (L),L,Z. Eflin (R),R,0.0,0.0,0
2025-04-02,Minnesota Twins,Chicago White Sox,P. Lopez (R),R,S. Burke (R),R,1.0,0.0,1
2025-04-02,Texas Rangers,Cincinnati Reds,J. Leiter (R),R,H. Greene (R),R,0.0,0.0,0
2025-04-02,San Francisco Giants,Houston Astros,L. Roupp (R),R,F. Valdez (L),L,2.0,0.0,1
2025-04-02,Atlanta Braves,Los Angeles Dodgers,B. Elder (R),R,B. Snell (L),L,2.0,0.0,1
2025-04-02,New York Mets,Miami Marlins,C. Holmes (R),R,C. Gillispie (R),R,1.0,0.0,1
2025-04-02,Kansas City Royals,Milwaukee Brewers,C. Ragans (L),L,F. Peralta (R),R,0.0,1.0,1
2025-04-02,Arizona Diamondbacks,New York Yankees,Z. Gallen (R),R,C. Rodon (L),L,2.0,0.0,1
2025-04-02,Colorado Rockies,Philadelphia Phillies,K. Freeland (L),L,Z. Wheeler (R),R,0.0,0.0,0
2025-04-02,Cleveland Guardians,San Diego Padres,B. Lively (R),R,D. Cease (R),R,0.0,0.0,0
2025-04-02,Detroit Tigers,Seattle Mariners,T. Skubal (L),L,L. Castillo (R),R,0.0,0.0,0
2025-04-02,Los Angeles Angels,St. Louis Cardinals,Y. Kikuchi (L),L,S. Gray (R),R,1.0,0.0,1
2025-04-02,Pittsburgh Pirates,Tampa Bay Rays,P. Skenes (R),R,R. Pepiot (R),R,0.0,0.0,0
2025-04-02,Washington Nationals,Toronto Blue Jays,M. Gore (L),L,E. Lucas (L),L,0.0,1.0,1
2025-04-03,Boston Red Sox,Baltimore Orioles,T. Houck (R),R,C. Morton (R),R,2.0,1.0,1
2025-04-03,Cincinnati Reds,Milwaukee Brewers,N. Lodolo (L),L,N. Cortes (L),L,0.0,0.0,0
2025-04-03,Houston Astros,Minnesota Twins,H. Brown (R),R,J. Ryan (R),R,0.0,2.0,1
2025-04-03,Arizona Diamondbacks,New York Yankees,M. Kelly (R),R,C. Carrasco (R),R,0.0,4.0,1
2025-04-03,Colorado Rockies,Philadelphia Phillies,A. Senzatela (R),R,T. Walker (R),R,0.0,0.0,0
2025-04-04,Miami Marlins,Atlanta Braves,M. Meyer (R),R,S. Schwellenbach (R),R,0.0,0.0,0
2025-04-04,St. Louis Cardinals,Boston Red Sox,E. Fedde (R),R,W. Buehler (R),R,0.0,5.0,1
2025-04-04,San Diego Padres,Chicago Cubs,R. Vasquez (R),R,S. Imanaga (L),L,0.0,1.0,1
2025-04-04,Chicago White Sox,Detroit Tigers,J. Cannon (R),R,J. Flaherty (R),R,0.0,1.0,1
2025-04-04,Baltimore Orioles,Kansas City Royals,D. Kremer (R),R,S. Lugo (R),R,0.0,1.0,1
2025-04-04,Cleveland Guardians,Los Angeles Angels,G. Williams (R),R,J. Soriano (R),R,1.0,1.0,1
2025-04-04,Cincinnati Reds,Milwaukee Brewers,N. Martinez (R),R,T. Alexander (L),L,0.0,0.0,0
2025-04-04,Toronto Blue Jays,New York Mets,K. Gausman (R),R,T. Megill (R),R,0.0,2.0,1
2025-04-04,Los Angeles Dodgers,Philadelphia Phillies,Y. Yamamoto (R),R,J. Luzardo (L),L,0.0,1.0,1
2025-04-04,New York Yankees,Pittsburgh Pirates,M. Fried (L),L,M. Keller (R),R,0.0,0.0,0
2025-04-04,Seattle Mariners,San Francisco Giants,L. Castillo (R),R,J. Verlander (R),R,1.0,1.0,1
2025-04-04,Tampa Bay Rays,Texas Rangers,Z. Littell (R),R,T. Mahle (R),R,0.0,0.0,0
2025-04-04,Arizona Diamondbacks,Washington Nationals,B. Pfaadt (R),R,J. Irvin (R),R,1.0,3.0,1
2025-04-05,Miami Marlins,Atlanta Braves,C. Quantrill (R),R,A. Smith-Shawver (R),R,2.0,0.0,1
2025-04-05,San Diego Padres,Chicago Cubs,N. Pivetta (R),R,M. Boyd (L),L,0.0,0.0,0
2025-04-05,Chicago White Sox,Detroit Tigers,D. Martin (R),R,R. Olson (R),R,1.0,2.0,1
2025-04-05,Baltimore Orioles,Kansas City Royals,T. Sugano (R),R,M. Wacha (R),R,0.0,0.0,0
2025-04-05,Cleveland Guardians,Los Angeles Angels,T. Bibee (R),R,J. Kochanowicz (R),R,1.0,3.0,1
2025-04-05,Cincinnati Reds,Milwaukee Brewers,B. Singer (R),R,E. Rodriguez (R),R,1.0,0.0,1
2025-04-05,Houston Astros,Minnesota Twins,S. Arrighetti (R),R,B. Ober (R),R,1.0,0.0,1
2025-04-05,Toronto Blue Jays,New York Mets,C. Bassitt (R),R,G. Canning (R),R,0.0,0.0,0
2025-04-05,Los Angeles Dodgers,Philadelphia Phillies,R. Sasaki (R),R,A. Nola (R),R,0.0,1.0,1
2025-04-05,New York Yankees,Pittsburgh Pirates,M. Stroman (R),R,B. Falter (L),L,0.0,0.0,0
2025-04-05,Seattle Mariners,San Francisco Giants,B. Miller (R),R,R. Ray (L),L,0.0,0.0,0
2025-04-05,Tampa Bay Rays,Texas Rangers,T. Bradley (R),R,J. deGrom (R),R,0.0,4.0,1
2025-04-05,Arizona Diamondbacks,Washington Nationals,E. Rodriguez (L),L,M. Parker (L),L,0.0,3.0,1
2025-04-06,St. Louis Cardinals,Boston Red Sox,A. Pallante (R),R,S. Newcomb (L),L,0.0,0.0,0
2025-04-06,San Diego Padres,Chicago Cubs,K. Hart (L),L,B. Brown (R),R,3.0,5.0,1
2025-04-06,Chicago White Sox,Detroit Tigers,M. Perez (L),L,J. Jobe (R),R,2.0,0.0,1
2025-04-06,Baltimore Orioles,Kansas City Royals,C. Povich (L),L,K. Bubic (L),L,0.0,3.0,1
2025-04-06,Cleveland Guardians,Los Angeles Angels,L. Ortiz (R),R,T. Anderson (L),L,1.0,0.0,1
2025-04-06,Cincinnati Reds,Milwaukee Brewers,C. Spiers (R),R,C. Patrick (R),R,0.0,0.0,0
2025-04-06,Houston Astros,Minnesota Twins,R. Blanco (R),R,C. Paddack (R),R,1.0,3.0,1
2025-04-06,Toronto Blue Jays,New York Mets,B. Francis (R),R,D. Peterson (L),L,0.0,0.0,0
2025-04-06,Los Angeles Dodgers,Philadelphia Phillies,T. Glasnow (R),R,C. Sanchez (L),L,2.0,0.0,1
2025-04-06,New York Yankees,Pittsburgh Pirates,W. Warren (R),R,A. Heaney (L),L,1.0,0.0,1
2025-04-06,Seattle Mariners,San Francisco Giants,B. Woo (R),R,J. Hicks (R),R,1.0,0.0,1
2025-04-06,Tampa Bay Rays,Texas Rangers,D. Rasmussen (R),R,K. Rocker (R),R,0.0,0.0,0
2025-04-06,Arizona Diamondbacks,Washington Nationals,C. Burnes (R),R,T. Williams (R),R,1.0,2.0,1
2025-04-07,Baltimore Orioles,Arizona Diamondbacks,Z. Eflin (R),R,Z. Gallen (R),R,1.0,0.0,1
2025-04-07,Toronto Blue Jays,Boston Red Sox,J. Berrios (R),R,R. Fitts (R),R,0.0,0.0,0
2025-04-07,Texas Rangers,Chicago Cubs,N. Eovaldi (R),R,J. Steele (L),L,0.0,0.0,0
2025-04-07,New York Yankees,Detroit Tigers,C. Rodon (L),L,C. Mize (R),R,0.0,0.0,0
2025-04-07,Minnesota Twins,Kansas City Royals,S. Woods Richardson (R),R,M. Lorenzen (R),R,0.0,1.0,1
2025-04-07,Miami Marlins,New York Mets,V. Bellozo (R),R,K. Senga (R),R,0.0,0.0,0
2025-04-07,St. Louis Cardinals,Pittsburgh Pirates,M. Liberatore (L),L,C. Mlodzinski (R),R,0.0,1.0,1
2025-04-07,Cincinnati Reds,San Francisco Giants,H. Greene (R),R,L. Webb (R),R,0.0,0.0,0
2025-04-07,Houston Astros,Seattle Mariners,H. Wesneski (R),R,L. Gilbert (R),R,0.0,0.0,0
2025-04-07,Los Angeles Dodgers,Washington Nationals,D. May (R),R,M. Gore (L),L,0.0,0.0,0
2025-04-08,Baltimore Orioles,Arizona Diamondbacks,C. Morton (R),R,M. Kelly (R),R,2.0,1.0,1
2025-04-08,Philadelphia Phillies,Atlanta Braves,Z. Wheeler (R),R,C. Sale (L),L,1.0,0.0,1
